Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C22",0402,2,15nF 50V,C114405
"C10, C11, C13, C14, C15, C31, C36, C52, C78, C79, C80, C81",0402,12,100nF 50V,C131394
"C100, C82, C85, C87, C89, C91, C92, C94, C95, C96, C97, C98, C99",0402,13,100nF,C131394
"C12, C18",1206,2,47uF 16V,C76659
"C16, C35",1206,2,4.7uF 50V,C51205
C17,0402,1,82pF 50V,C1555
"C19, C29, C30, C49, C50, C58, C59, C8, C9, C93",0402,10,1uF 25V,C52923
"C2, C23, C24, C27, C28, C3, C6, C7",0402,8,2.2nF 50V,C1531
"C20, C43",0402,2,270pF 50V,C541471
"C21, C26, C38, C41, C5",0402,5,2.2uF 25V,C1555
"C25, C4",0402,2,22nF 50V,C1532
"C32, C33, C34",0402,3,0.1uF 50V,C131394
"C39, C40, C42, C44, C45, C46, C47, C48, C51, C53, C54, C55, C56, C57, C60, C61, C64, C65, C66, C67, C68, C69, C70, C71, C73, C74, C75, C76, C77",1206,29,100uF 50V,C93194
"C62, C63",0402,2,0.1uF 16V,C141382
"C72, C88, C90",0402,3,2.2uF 16V,C1555
"C83, C84",0402,2,12pF,C555399
C86,0402,1,100nF 16V,C60474
D1,D_SOD-123F,1,100V 2A SMB,C705302
D2,D_SOD-123F,1,MBR140SFT1G,C52754461
D3,0402,1,GREEN,C74338
D4,D_SOD-123F,1,MBR2H100SFT3G,C16197290
F1,1206,1,Fuse_500MA,C2984676
"H5, H6",TestPoint_Round,2,MountingHole_Pad,N/A
"J1, J2",AMASS_MR30PW-M_1x03_P3.50mm_Horizontal,2,MR30PW-M 15A (30A),C19268034
"J10, J11",JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,2,Conn_01x05,C136657
J3,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,XT30,C431092
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J5,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03,C160403
J6,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,Conn_01x06,C160405
"J7, J8",JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,2,Conn_01x02,C160402
J9,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,C160404
L1,L_Taiyo-Yuden_NR-60xx,1,33uH 1.4A,C92942
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",Infineon-MG-WDSON-8-05_2016-901-MFG,12,IRF7480MTRPBF,C152356
"Q13, Q14",TDSON-8-1,2,CSD18540Q5B,C86513
"R1, R13, R14, R2, R24, R25, R28, R29, R33, R34, R47, R48, R8, R9",0402,14,2R2,C25158
"R10, R23, R30, R42, R43, R44, R51, R55, R56, R57, R58, R59, R60, R7",0402,14,3.3k,C137992
"R11, R15, R31, R35, R54",0402,5,120R,C3015760
"R12, R16, R32, R36",2512,4,500uOhm 6W 1%,C4175647
"R17, R18, R37, R38, R52, R53",0402,6,22R 1%,C482107
"R19, R20, R21, R39, R40, R61, TH1, TH2, TH3",0402,9,10k,C25076
R22,0402,1,47k 1%,C25091
"R26, R3, R46, R50",0402,4,1k,C11702
"R27, R4, R45, R6",0402,4,18k,C497126
R5,0402,1,220k 1%,C3015902
SW1,SW_SPST_B3U-1000P,1,B3U-1000P-B,C231329
"U1, U2",DRV8301DCA,2,DRV8301DCAR,C98969
U3,WSON-8_4x4mm_P0.8mm,1,LM5109BSD,C544701
U4,SOT-23-5,1,SPX3819M5-L-3-3,C9055
U5,SOT-23-5,1,LP5907MFX-3.3,C80670
U6,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD232,C177182
U8,SOT-23-6,1,USBLC6-2SC6,C7519
Y1,CSTCE8M00G55-R0,1,Crystal_GND3_Small,C341522
