Designator,Mid X,Mid Y,Rotation,Layer
C1,74.82,36.7,90.0,top
C10,72.9,36.7,90.0,top
C100,56.975,18.5,180.0,top
C11,59.1,38.925,270.0,top
C12,79.5,44.75,0.0,top
C13,71.7,36.7,90.0,top
C14,68.25,36.65,90.0,top
C15,64.75,36.65,90.0,top
C16,57.45,36.925,270.0,top
C17,76.45,48.85,0.0,top
C18,79.531016,42.27,0.0,top
C19,79.55,46.75,0.0,top
C2,61.0,36.65,270.0,top
C20,76.45,50.75,180.0,top
C21,49.3,36.9,270.0,top
C22,35.3,36.65,90.0,top
C23,23.3,36.65,270.0,top
C24,21.775,36.65,270.0,top
C25,28.175,49.3,90.0,top
C26,29.125,49.3,90.0,top
C27,39.2,39.075,0.0,top
C28,39.2,40.125,0.0,top
C29,22.3,49.3,90.0,top
C3,59.575,36.65,270.0,top
C30,25.15,49.3,90.0,top
C31,21.075,38.925,270.0,top
C32,33.9,36.65,90.0,top
C33,30.7,36.65,90.0,top
C34,27.2,36.65,90.0,top
C35,19.45,36.925,270.0,top
C36,73.86,36.7,270.0,top
C38,46.225,36.9,270.0,top
C39,75.0,24.4,90.0,bottom
C4,66.25,49.3,270.0,top
C40,72.5,24.4,90.0,bottom
C41,43.5,32.6,180.0,top
C42,70.0,24.4,90.0,bottom
C43,48.2,36.9,270.0,top
C44,67.5,24.4,90.0,bottom
C45,65.0,24.4,90.0,bottom
C46,62.5,24.4,90.0,bottom
C47,60.0,24.4,90.0,bottom
C48,55.4,24.3,90.0,bottom
C49,75.5,50.25,0.0,bottom
C5,67.45,49.3,90.0,top
C50,68.5,50.25,0.0,bottom
C51,52.9,24.3,90.0,bottom
C52,50.65,32.8,0.0,top
C53,50.4,24.3,90.0,bottom
C54,47.9,24.3,90.0,bottom
C55,45.4,24.3,90.0,bottom
C56,42.9,24.3,90.0,bottom
C57,40.4,24.3,90.0,bottom
C58,71.45,53.5,90.0,bottom
C59,64.55,53.55,270.0,bottom
C6,39.2,42.05,0.0,top
C60,36.2,24.3,90.0,bottom
C61,33.7,24.3,90.0,bottom
C62,72.4,53.5,90.0,bottom
C63,65.55,53.55,270.0,bottom
C64,31.2,24.3,90.0,bottom
C65,28.7,24.3,90.0,bottom
C66,26.2,24.3,90.0,bottom
C67,23.7,24.3,90.0,bottom
C68,21.2,24.3,90.0,bottom
C69,3.6,28.85,0.0,bottom
C7,39.2,41.075,0.0,top
C70,8.6,22.1,180.0,bottom
C71,3.6,26.6,0.0,bottom
C72,47.175,36.9,270.0,top
C73,8.6,24.35,180.0,bottom
C74,3.6,24.35,0.0,bottom
C75,8.6,26.6,180.0,bottom
C76,3.6,22.1,0.0,bottom
C77,8.6,28.85,180.0,bottom
C78,57.7,24.3,90.0,bottom
C79,76.6,24.4,90.0,bottom
C8,59.95,49.3,90.0,top
C80,38.3,24.3,90.0,bottom
C81,19.6,24.3,90.0,bottom
C82,45.15,36.9,270.0,top
C83,39.325,49.075,0.0,top
C84,39.2,44.025,0.0,top
C85,53.0,38.2,270.0,top
C86,39.2,43.025,180.0,top
C87,41.75,50.325,270.0,top
C88,51.25,36.95,270.0,top
C89,44.275,52.325,0.0,top
C9,63.088459,49.3,90.0,top
C90,55.675,47.75,270.0,top
C91,55.0,50.1,0.0,top
C92,43.05,36.902994,270.0,top
C93,44.0,36.9,270.0,top
C94,23.76,52.82,90.0,top
C95,40.9,18.5,180.0,top
C96,53.225,18.5,0.0,top
C97,39.045,18.5,180.0,top
C98,55.1,18.5,0.0,top
C99,42.76,18.5,0.0,top
D1,83.55,37.2,90.0,top
D2,46.95,33.7,0.0,bottom
D3,79.55,48.9,0.0,top
D4,20.5,53.3,90.0,bottom
F1,18.25,53.3,90.0,bottom
H5,49.7,14.3,270.0,top
H6,46.3,14.3,90.0,top
J1,67.0,8.9,180.0,top
J10,55.6,14.5,0.0,top
J11,40.4,14.5,0.0,top
J2,29.0,8.9,180.0,top
J3,9.025,25.5,90.0,top
J4,13.0,43.0,270.0,top
J5,13.9,43.0,90.0,bottom
J6,42.15,52.825,180.0,bottom
J7,33.55,52.825,180.0,bottom
J8,59.5,52.8,180.0,bottom
J9,51.75,52.825,180.0,bottom
L1,79.075,37.2,90.0,top
Q1,75.55,22.65,0.0,top
Q10,28.95,28.65,0.0,top
Q11,20.65,22.65,0.0,top
Q12,20.65,28.65,0.0,top
Q13,48.0,20.8,270.0,top
Q14,48.0,27.1,270.0,top
Q2,75.55,28.65,0.0,top
Q3,67.25,22.65,0.0,top
Q4,67.25,28.65,0.0,top
Q5,58.95,22.65,0.0,top
Q6,58.95,28.65,0.0,top
Q7,37.2,22.65,0.0,top
Q8,37.2,28.65,0.0,top
Q9,28.95,22.65,0.0,top
R1,70.6,36.7,270.0,top
R10,68.4,49.3,270.0,top
R11,72.15,31.1,0.0,bottom
R12,72.3,28.7,0.0,bottom
R13,63.5,36.65,270.0,top
R14,62.425,36.65,270.0,top
R15,62.5,31.1,0.0,bottom
R16,62.7,28.7,0.0,bottom
R17,62.042306,49.3,90.0,top
R18,60.996153,49.3,90.0,top
R19,73.05,49.3,90.0,top
R2,69.35,36.7,270.0,top
R20,71.15,49.3,90.0,top
R21,72.1,49.3,90.0,top
R22,76.45,49.8,0.0,top
R23,59.85,32.0,180.0,top
R24,32.9,36.65,270.0,top
R25,31.7,36.65,270.0,top
R26,27.025,49.3,270.0,top
R27,31.025,49.3,90.0,top
R28,29.7,36.65,270.0,top
R29,28.5,36.65,270.0,top
R3,65.3,49.3,270.0,top
R30,30.075,49.3,270.0,top
R31,33.45,31.125,0.0,bottom
R32,33.5,28.7,0.0,bottom
R33,26.2,36.65,270.0,top
R34,24.9,36.65,270.0,top
R35,24.125,31.2,0.0,bottom
R36,23.9,28.8,0.0,bottom
R37,24.2,49.3,90.0,top
R38,23.25,49.3,90.0,top
R39,32.8,49.3,90.0,top
R4,70.1,49.3,90.0,top
R40,33.75,49.3,90.0,top
R42,35.95,32.0,0.0,top
R43,43.975,31.075,90.0,top
R44,43.025,31.075,90.0,top
R45,55.65,36.8,270.0,top
R46,54.625,36.8,90.0,top
R47,50.65,31.625,180.0,top
R48,50.65,30.5,180.0,top
R5,75.7,47.0,0.0,top
R50,79.55,47.9,180.0,top
R51,43.75,26.25,90.0,top
R52,19.65,43.9,180.0,top
R53,19.65,42.8,180.0,top
R54,26.23,52.775,270.0,top
R55,55.8,44.2,90.0,bottom
R56,44.6,48.1,90.0,bottom
R57,47.6,48.1,90.0,bottom
R58,45.6,48.1,90.0,bottom
R59,48.6,48.1,90.0,bottom
R6,74.0,49.3,90.0,top
R60,46.6,48.1,90.0,bottom
R61,56.1,53.85,0.0,top
R7,74.95,49.3,270.0,top
R8,67.25,36.65,270.0,top
R9,66.05,36.65,270.0,top
SW1,59.7,53.82,270.0,top
TH1,57.85,32.0,0.0,top
TH2,37.9,32.0,180.0,top
TH3,43.75,28.4,270.0,top
U1,67.0,43.0,270.0,top
U2,29.0,43.0,270.0,top
U3,47.1,32.3,0.0,top
U4,75.0,52.75,270.0,bottom
U5,68.0,52.75,270.0,bottom
U6,48.0,45.0,270.0,top
U7,25.75,53.275,90.0,bottom
U8,19.4,49.85,0.0,top
Y1,39.375,46.6,270.0,top
